postgres-1  |   Connection matched pg_hba.conf line 100: "host all all all scram-sha-256"
postgres-1  | 2025-10-20 22:50:04.821 UTC [49040] FATAL:  password authentication failed for user "postgres"
postgres-1  | 2025-10-20 22:50:04.821 UTC [49040] DETAIL:  Role "postgres" does not exist.
postgres-1  |   Connection matched pg_hba.conf line 100: "host all all all scram-sha-256"
postgres-1  | 2025-10-20 22:50:05.464 UTC [49041] FATAL:  password authentication failed for user "postgres"
postgres-1  | 2025-10-20 22:50:05.464 UTC [49041] DETAIL:  Role "postgres" does not exist.
postgres-1  |   Connection matched pg_hba.conf line 100: "host all all all scram-sha-256"
postgres-1  | 2025-10-20 22:50:06.094 UTC [49042] FATAL:  password authentication failed for user "postgres"
postgres-1  | 2025-10-20 22:50:06.094 UTC [49042] DETAIL:  Role "postgres" does not exist.
postgres-1  |   Connection matched pg_hba.conf line 100: "host all all all scram-sha-256"
postgres-1  | 2025-10-20 22:50:06.727 UTC [49043] FATAL:  password authentication failed for user "postgres"
postgres-1  | 2025-10-20 22:50:06.727 UTC [49043] DETAIL:  Role "postgres" does not exist.
postgres-1  |   Connection matched pg_hba.conf line 100: "host all all all scram-sha-256"
postgres-1  | 2025-10-20 22:50:07.361 UTC [49044] FATAL:  password authentication failed for user "postgres"
postgres-1  | 2025-10-20 22:50:07.361 UTC [49044] DETAIL:  Role "postgres" does not exist.
postgres-1  |   Connection matched pg_hba.conf line 100: "host all all all scram-sha-256"
postgres-1  | 2025-10-20 22:50:07.968 UTC [49045] FATAL:  password authentication failed for user "postgres"
postgres-1  | 2025-10-20 22:50:07.968 UTC [49045] DETAIL:  Role "postgres" does not exist.
postgres-1  |   Connection matched pg_hba.conf line 100: "host all all all scram-sha-256"
postgres-1  | 2025-10-20 22:50:08.580 UTC [49046] FATAL:  password authentication failed for user "postgres"
postgres-1  | 2025-10-20 22:50:08.580 UTC [49046] DETAIL:  Role "postgres" does not exist.
postgres-1  |   Connection matched pg_hba.conf line 100: "host all all all scram-sha-256"
postgres-1  | 2025-10-20 22:50:09.221 UTC [49053] FATAL:  password authentication failed for user "postgres"
postgres-1  | 2025-10-20 22:50:09.221 UTC [49053] DETAIL:  Role "postgres" does not exist.
postgres-1  |   Connection matched pg_hba.conf line 100: "host all all all scram-sha-256"
postgres-1  | 2025-10-20 22:50:09.858 UTC [49055] FATAL:  password authentication failed for user "postgres"
postgres-1  | 2025-10-20 22:50:09.858 UTC [49055] DETAIL:  Role "postgres" does not exist.
postgres-1  |   Connection matched pg_hba.conf line 100: "host all all all scram-sha-256"
postgres-1  | 2025-10-20 22:50:10.492 UTC [49056] FATAL:  password authentication failed for user "postgres"
postgres-1  | 2025-10-20 22:50:10.492 UTC [49056] DETAIL:  Role "postgres" does not exist.
postgres-1  |   Connection matched pg_hba.conf line 100: "host all all all scram-sha-256"
postgres-1  | 2025-10-20 22:50:11.116 UTC [49057] FATAL:  password authentication failed for user "postgres"
postgres-1  | 2025-10-20 22:50:11.116 UTC [49057] DETAIL:  Role "postgres" does not exist.
postgres-1  |   Connection matched pg_hba.conf line 100: "host all all all scram-sha-256"
postgres-1  | 2025-10-20 22:50:11.747 UTC [49058] FATAL:  password authentication failed for user "postgres"
postgres-1  | 2025-10-20 22:50:11.747 UTC [49058] DETAIL:  Role "postgres" does not exist.
postgres-1  |   Connection matched pg_hba.conf line 100: "host all all all scram-sha-256"
postgres-1  | 2025-10-20 22:50:12.387 UTC [49059] FATAL:  password authentication failed for user "postgres"
postgres-1  | 2025-10-20 22:50:12.387 UTC [49059] DETAIL:  Role "postgres" does not exist.
postgres-1  |   Connection matched pg_hba.conf line 100: "host all all all scram-sha-256"
postgres-1  | 2025-10-20 22:50:13.020 UTC [49060] FATAL:  password authentication failed for user "postgres"
postgres-1  | 2025-10-20 22:50:13.020 UTC [49060] DETAIL:  Role "postgres" does not exist.
postgres-1  |   Connection matched pg_hba.conf line 100: "host all all all scram-sha-256"
postgres-1  | 2025-10-20 22:50:13.635 UTC [49061] FATAL:  password authentication failed for user "postgres"
